,Integration Type,Language,Sentiment,Categories,Text,pred
2615,google_mybusiness,eng,1,food,Love the Ellis special burger!,1
2616,google_mybusiness,eng,1,food,Top hamburgers.,1
2621,google_mybusiness,eng,1,food,"TL;DR: food is good, mediocre service at best. The burgers were very good (although slightly on the small size for the price). Classic fries on the side.I ordered tap water but I had to buy drinks to get water (which makes no sense especially due to the high price of the meal).",-1
2624,google_mybusiness,eng,1,food,Very tasty burgers 😋,1
2630,google_mybusiness,eng,1,food,"One of the best burgers I’ve had in a while and top service. Pictured: blue cheese burger on a lettuce wrap (no bun), Belgian fries, kiwi lime lemonade. Their lemonade was absolutely delicious!",1
2633,google_mybusiness,eng,1,food,"Good hamburgers, beer and frittes and a place to rest your feet.",1
2639,google_mybusiness,eng,1,food,Very delicious burgers and homemade lemonades,1
2641,google_mybusiness,eng,1,food;service,An awesome burger place in Bruges. Food and service were great. Beverages could have been better. I would recommend this restaurant.,1
2646,google_mybusiness,eng,1,environment;food,I have been here for dinner. The place is very nice and cozy. Good selection of beers and burgers.,1
2652,google_mybusiness,eng,1,food,"The meatlovers burger is the BOMB here. Made from minced, pulled and crumbled beef, its gets the holy trinity of burgers right - patty flavourfullness, condiments and bun integrity. Highly recommended.",1
2655,google_mybusiness,eng,1,food;experience;service;reputation,Service excellent food cooked perfectly.  Well worth a visit.,1
2656,google_mybusiness,eng,1,experience;environment,"Good house grill, nice period surrounding.",1
2657,google_mybusiness,eng,1,food;experience;service;value,Lovely food and very friendly staff.good value for money.,1
2658,google_mybusiness,eng,1,service;food;experience;reputation,"Super service, Great cusine. If you like Italian food I recomended",1
2660,google_mybusiness,eng,1,experience,"SPAGHETTI HOUSE, dooo doo",1
2661,google_mybusiness,eng,1,food;experience;environment;service,"The food and the atmosphere are great. Getting the whole order was more difficult, some things were lost between the kitchen and our table.",1
2662,google_mybusiness,eng,1,food;experience;service,Lovely food and quick service too.,1
2664,google_mybusiness,eng,1,service;food;value,Service was very good. We had the set menu of which the main course of chicken and asparagus was perhaps the blandest Italian  meal I have experienced. Prices reasonable given the location,1
2665,google_mybusiness,eng,1,experience;food;value;service;reputation,We really enjoyed our meal here - our first visit to a Spaghetti House. The menu had a good range of choice with lots of dishes available in smaller portions for children (or adults wanting a lighter meal). Food was excellent. We had a lovely large table. Service was attentive but not overbearing. I ended with one of the best decaf coffees I've ever had - so hard to find good decaf. We'll definitely go back.,1
2666,google_mybusiness,eng,1,experience;service;food,A perfect Sunday Lunch in a restaurant atomosphere .Everything was very very good the beef was outstanding .Great service .,1
2667,google_mybusiness,eng,1,experience;food;environment,Fantastic food and a lovely atmosphere. Really enjoyed 3 course set menu.,1
2669,google_mybusiness,eng,1,experience;food;service,Fantastic food and super fast service,1
2671,google_mybusiness,eng,1,experience;food;service;environment,Great place. Lovely people the salmon was great nice place and staff,1
2672,google_mybusiness,eng,1,food;experience;convenience,"Very nice location, tasty food and a menu for everybody",1
2675,google_mybusiness,eng,1,experience;service;food,"Staff very friendly,plates could have warmed,do as to keep food hot,had a lovely mixed grill, by the time I came to eat the steak it was only just warm.",1
2677,google_mybusiness,eng,1,food;experience;service,"Lovely food, which you can tell by the empty plate. 😄 Stat are helpful and friendly.",1
2679,google_mybusiness,eng,1,experience;food;service,We had a company dinner here and thoroughly enjoyed our meal. The staff were fantastic and went out of their way to make sure everything was great. I had beef Wellington with the veg and asked for the steak pink even though I wouldn't normally eat it that way. It was absolutely stunning. I really enjoyed the baileys and white hot chocolate cheesecake as well. My colleagues all enjoyed their meals too.,1
2680,google_mybusiness,eng,1,experience;food;service,"Very Good service, fine food and bar. Very nice all round.",1
2681,facebook,eng,1,experience;service;value,"excellent , good service , great value 3pm to 5pm",1
2683,google_mybusiness,eng,1,experience;food;service,"Went on a Thursday night and the steak was fabulous,went again on the Friday was so so busy steak wasn't quite as good.Very nice staff and service was good",1
2687,google_mybusiness,eng,1,experience;value;service,Booked for lunch yesterday as a first time visitor.  Was not disappointed at all!! The fixed price menu was super value for money.  Plenty of food on the plate and plenty of choices. The waitress Paula was very pleasant and attentive to our needs. Would definitely recommend a visit.,1
2688,google_mybusiness,eng,1,experience;food;value,Lovely meal good price,1
2689,google_mybusiness,eng,1,experience;service;food,"Great service, fast, friendly & very attentive - and the food arrived hot and cooked to perfection. All dishes arrived at the same time so no one in my party needed to wait.Thanks for a great night.",1
2690,google_mybusiness,eng,1,experience;value;service,"Amazing value for the afternoon set menu, with friendly staff.",1
2691,google_mybusiness,eng,1,experience;food;service,Food was amazing. Service was friendly. Really enjoyed eating here,1
2692,google_mybusiness,eng,1,experience;service;food,"Had lunch there yesterday,  arrived at 12 noon. Place lovely and clean, had water immediately put on table. The meal was lovely, steak done to perfection.  Only draw back service was a bit slow, could have done with more waiting staff.",1
2694,google_mybusiness,eng,1,experience;food;environment,Good food and a nice atmosphere,1
2695,google_mybusiness,eng,1,experience;food,Always go for the prime Middletons. All the meat for me,1
2696,facebook,eng,1,experience;food;service;reputation,Went for my husband 44th birthday Never been before Great steaks excellent service Would highly recommend,1
2697,facebook,eng,1,experience;food;service,Great steaks great service from our waitress she gave a great service and good banter tonight all ways love going there,1
2698,google_mybusiness,eng,1,experience,Awesome,1
2699,google_mybusiness,eng,1,experience;food;service,"Good menu, staff excellent as was the food. would go again.",1
2701,google_mybusiness,eng,1,food;experience;service,"Food was stunning.. 😊 Well cooked, tasty and i would go back again.. the person serving us must have not been having such a great day tho.. ☹",1
2702,google_mybusiness,eng,1,experience;food;service;environment,"Absolutely perfect steaks, great service and a good atmosphere. Here with my in-laws for my BIL's birthday. Wish we had one at home.",1
2703,google_mybusiness,eng,1,experience;food;service;value,"Excellent food, service was quick and very good prices will definitely go back there.",1
2704,google_mybusiness,eng,1,experience;food;service,"We had a lovely meal here on Good Friday evening. We hadn't booked as it was a last minute decision, but after a couple of minutes at the bar pursuing the menu, we were escorted to our table. The food was great, though we did have to wait quite a while for it to arrive. Our server apologized and rectified the problem very quickly, and offered us a complimentary dessert as recompense. We were delighted. The food was worth waiting for, and my medium rare steak was delicious. We all enjoyed the food and will be back soon.",1
2705,google_mybusiness,eng,1,experience;service;food,First night got turned away at 20:45 didn't look busy!! Went back earlier next night lovely meal good friendly service,1
2706,google_mybusiness,eng,1,experience;food,Cannot comment on the food as we just stopped for a coffee and a snack to break a long journey but we were very well looked after by the staff and will definitely stop there again if we go that way.,1
2707,google_mybusiness,eng,1,experience,Prima sera in Peterborough e subito una gran buona cena. In ottimo hamburger innaffiato da un'ottima birra. Cameriera cortese che ci ha accudito in tutto e per tutto.First night in Peterborough and first great dinner. A very good hamburger with as far as the beer. Waitress very kindly that help us in everything.,1
2708,google_mybusiness,eng,1,experience;food;service;value,"Really nice food, great value, friendly staff",1
2709,google_mybusiness,eng,1,experience;food;service,"Great food, had the mixed grill & way too much food but eyes are bigger than my belly. Food was brilliant & good service",1
2711,google_mybusiness,eng,1,experience;food;service;value;environment,"Had a lovely lunch with friends. We often meet for a catch up here. Alll had the 3 course set menu.Theres several choices for each course,all nice & very good value for money.Service & atmosphere are very nice too.",1
2713,google_mybusiness,eng,1,experience;food;reputation,My daughter treated us to an Easter Sunday meal here. The food was good and the service excellent. No hesitation in recommending this place. The steaks were awesome.,1
2715,facebook,eng,1,food,steak cooked to perfection,1
2716,google_mybusiness,eng,1,experience;food;environment,Very nice food and interior,1
2717,google_mybusiness,eng,1,experience;food;service,Food was excellent. Staff friendly. Would have given 5 stars but at the end of the evening the staff were more interested in talking to each other and we had trouble attracting their attention to get the bill.,1
2718,yelp,eng,1,experience;food;service,"The menu is extensive, i had olives bread and calamari for starters. You need this time as you wait for the steak. To be fair i ordered 12oz sirloin and was still hungry, perhaps that is me. Thus came with chips. It would have been better if the steak was presented better, it was a little dull especially if you have to wait. Service is goodDesert tasty",-1
2719,instagram,eng,1,reputation,This cutie just couldn’t wait to eat his Go.fre 🙈•••••••#cutie #gofre #wafflelove #waffleonastick #antwerp #bruges #hasselt #go4gofre #strawberrychocolate,1
2722,instagram,eng,1,reputation,never have I ever eaten anything more delicious than this waffle 😍,1
2723,instagram,eng,1,reputation,Thank you @ru_me_ for this wonderful picture! We hope you enjoyed your Chez Albert waffle 🤗••••••••#weekend #wafflelove #goodmood #thankyou #premium #bruges #antwerp #ostend #foodie #saturday #chocolate #topping #chezalbert,1
2726,instagram,eng,1,reputation,Belgian waffle 😋,1
2727,instagram,eng,1,reputation,Time to relax and destress 🧘‍♀️ Enjoy the weekend! ••••••#relax #weekendfeeling #wafflelove #waffleonastick #saturday #strawberry #chocolate #smarties #go4gofre #gofre,1
2728,instagram,eng,1,reputation,Life is better with chocolate🍫.. #maceymonkey #brugge,1
2732,google_mybusiness,eng,1,environment;food,"Guys, your spaghettis are awesome ! Moreover, i really appreciated that i can customize my own meal :)",1
2737,google_mybusiness,eng,1,environment;food;service,"After the MAS some nachos with bolognese and belgian beer. Excellent choice, super friendly service!",1
2740,google_mybusiness,eng,1,experience,Specialty coffee place; great pour over coffee - many different origins. great cakes and super comfortable couches.,1
2741,google_mybusiness,eng,1,experience,"The first coffee shop we found that served decaffeinated coffee, it seems to be an unusual request in Amsterdam. We also had a slice of apple pie, that was very good and the hot chocolate was, hot, another unusual event pretty much anywhere. Wi-Fi was also available so what more could you want, oh yes the sun was shining!",1
2742,google_mybusiness,eng,1,experience,"This coffee shop catched my eye because of provide Hario V60 filter coffee which mot commonly seen in Amsterdam, and it also pretty good. Yes, it has only a few small tables but a long one can share, everyone feel free to spend their time.",1
2753,yelp,eng,1,food;value;environment,We had a lovely breakfast at the outdoor seating for a reasonable price. We both had the classic breakfast that had everything you would need.,1
2756,google_mybusiness,eng,1,food,Best breakfast in Hilversum.,1
2760,google_mybusiness,eng,1,experience;food;service,Amazing food and great service,1
2761,google_mybusiness,eng,1,value;service;food,The service was super fast and polite. The food was well prepared and good and te prives were very fair. Would definitely recommend it and go again,1
2762,google_mybusiness,eng,1,environment;value;food,Chicken served in different ways. Good price. Creative use of space with double decked seating and scaffold poles!,1
2763,google_mybusiness,eng,1,experience;environment;food,"Great atmosphere! Can't believe how busy they were for a Tuesday evening.  Steak was good, ribs were dry, not the best bbq sauce.  Food was ok, gin was good!  Worth a trip to try ..",1
2764,google_mybusiness,eng,1,value;food;environment,"A nice bar with a relaxed atmosphere. The design, alongside the food makes it a great place to visit. The food is tasty at a reasonable price. Although I am not sure whether vegetarian dishes are available, it's definitely a great place to visit if you are a meat lover. I'll definitely return there in the future!",1
2765,facebook,eng,1,food;environment,Super!!!They also have vegan and vegetarian choice!!Perfect service!Kindest people.,1
2766,google_mybusiness,eng,1,experience;food,Food fantastic. Company was appalling but not there fault.  I will be definitely going back.,1
2768,facebook,eng,1,food;value,Great chicken for a fair price.,1
2775,google_mybusiness,eng,1,service;food,"We went with the family and took a friend of our daughter with us. Everyone found something to their liking (which is not a given ;) ).  We had some tacos, some chicken breast, some salad, some ... and it was all very tasty and brought to the table by very kind staff.",1
2776,yelp,eng,1,food;environment;value,Great service. Good bier selection. Atmosphere/decor was nice and updated. They were playing some sweet 80's music (lol...go Europe!). Accommodating to people with young children. Fries and chicken were delicious. We were in Ghent 2 1/2 days. We ate/drank out 7 times. Came here twice..it was that good!,1
2778,google_mybusiness,eng,1,experience;food;service,Good food and service,1
2779,google_mybusiness,eng,1,experience,Amazing,1
2780,google_mybusiness,eng,1,experience;food;service,Perfect service and great food. Will definitely be returning,1
2782,google_mybusiness,eng,1,experience,Nice,1
2784,instagram,eng,1,reputation,You are the cherry to my waffle 🍒••••••#waffles #cherry #topping #antwerp #railwaystation #treatyourself #onthego #premiumwaffles #tuesday #chezalbert,1
2785,instagram,eng,1,reputation,GO•FRE#go4gofre #mymeetingsarebetterthanyours #happykids #sugarrush #kids #waffle ➡️ go.fre 👍🏻👍🏻👍🏻,1
2786,facebook,eng,1,reputation,Hello May! Hello sunshine! We are ready for you... 🐣,0
2787,instagram,eng,1,reputation,Hello May! Hello sunshine! We are ready for you... 🐣•••••••#may #sunshine #white #chocolate #waffleonastick #bruges #marshmallows #happymood #motivation #gofre,1
2788,instagram,eng,1,reputation,Keep calm and waffle on! #go4Gofre,1
2805,instagram,eng,1,environment,That look on your face hearing it's time for seconds ... #wearenotresponsibleforstainsonyourshirt #secondbestspaghetti #thebelgianway #belgianspaghetti #BAVET #bavetjedoen #peopleofbavet #WeMetAtBavet #gent #leuven #antwerpen #antwerp #brussels #ixelles #growing#bavetmoments,1
2806,instagram,eng,1,environment,Yesterday I went for a dinner with friends. There I saw a magnificent cactus. I asked if I could get a cutting... look what I got! ☺️😱🌱🍃🌵bavet_spaghetti ..#cactus #cactus🌵 #cacticacti #cacti #cactilover #plantphoto #plantaddiction #plantfamily #plantcuttings #plantjungle #plantlife #plantsplantsplants #indoorplants #plantsnerd #plantsofinstagram #plantscout #plantsonwhite #meesterplant #plantstagram #houseplantslover #houseplants #houseplantlove #pottedplants #terracotta #dragonfruitcactus #dragonfruitplant #kamerplanten,1
2808,instagram,eng,1,environment,"Tag 3 - 5 people, artist, writers, musicians, bloggers, public or private businesses, bars, restaurants, libraries etc in Leuven and thank them for what they do. You could also add personal stories you’ve had with any of them if you feel like 😘.P.S: You can comment in any language you feel comfortable with 😉......—📸 leuvencity—#leuven #leuvencity #seemyleuven #leuvenbelgium #exploreleuven #discoverleuven #leuvenisbeautiful  #leuvenlove #leuvenlife #visitleuven #belgium",1
2809,google_mybusiness,eng,1,food,Amazing food. Wish I would have had time to go back a second time.,1
2810,google_mybusiness,eng,1,environment,Great pasta!,1
2813,instagram,eng,1,environment,"Join the Waitor and be a Spaghetti Creator! At Bavet we designed our menu making it possible customizing your own spaghetti. Keep on discovering every time as multiple combinations should be fine! Not sure? Go for one of our specials, created by our friends: staff, ambassadors, students & family. 🍝#Thebillybunter ; The absolute meat combo including The Bavet and the Bavet Special topped off with los pollos, meatballs, bacon and emmentaler.#wearenotresponsibleforstainsonyourshirt #secondbestspaghetti #thebelgianway #belgianspaghetti #BAVET #bavetjedoen #gent #leuven #antwerpen #antwerp #brussels #ixelles #bruges #createyourown",1
2814,instagram,eng,1,environment,HAPPINESS is ... eating spaghetti 🍝🥰 bavet_spaghetti #bavet,1
2819,google_mybusiness,eng,1,experience;food;service;environment,Lovely meal in a great atmosphere. Waiter was extremely helpful.,1
2820,google_mybusiness,eng,1,experience;food;service,"Good food, nice staff. I had my little one with me and they have been very nice providing me some hot water to warm the milk and they have a changing table as well.",1
2822,facebook,eng,1,experience;food,Amazing place beautiful food and wine,1
2824,google_mybusiness,eng,1,experience;service;environment,"Lovely steak. Great atmosphere. Service can be a little slow but I think that is more to do with the size, of the restaurant and probably lack of staff as they always looked super busy, but we're always really polite and helpful. Food has improved over the months as well.",1
2825,google_mybusiness,eng,1,experience;food,"Very comfy place and super helpful, genuine staff. The sides are amazing. The dessert was life-affirming (white choc and Bailey's cheesecake). But the 12oz serloin I got was disappointing. Perfectly cooked to medium but super chewy. It was clearly just a bad cut and unfortunate. Everything else was top notch. Will try again but avoid the serloin.",0
2827,google_mybusiness,eng,1,experience;food;service,"The best Mediterranean Street food, a lot of options, fresh, friendly staff in center of Bruges. Delicious vegetarian pita wrap. recommend",1
2828,google_mybusiness,eng,1,experience;food;service,"the best take away traditional greek pita ,fresh food, friendly stuff  !Definitely recommend it",1
2829,google_mybusiness,eng,1,experience;food;service,"Mediterranean Greek Street food, the best take away in Bruges. Friendly staff, Fresh food a lot of different choices, for all tastes!! gyros pita wrap my favorite",1
2830,google_mybusiness,eng,1,experience;food;value,"Fresh take away food! Delicious fresh cut fried potatoes, I had chicken street box and my boyfriend vegetarian street box, normal prices for Bruges standard.  recommend it",1
2831,google_mybusiness,eng,1,experience;food,The best healthy food ever 👌😋,1
2832,google_mybusiness,eng,1,experience;food;service;reputation,"One of the best street food ever ,, they have healthy and delicious food and fresh juices as well They cooked the food in front of us it’s too clean Also I have to say that they have an amazing stuff very friendly and nice with the customers I gave it 10/10 and I would like to come back again to it The most thing I liked that they use olive oil for all there food that’s mean it’s really healthy I would like to thank them all for the amazing food and I wish them all the best",1
2833,google_mybusiness,eng,1,experience;food;reputation;value,"Delicious Mediterranean street food, take away. I love to eat chicken souvlaki, Greek salad dakos and fresh cut potatoes with warm cheese. You can enjoy vegetarian options, grilled calamari-octapus pita, other meats, vegan pita with grilled vegetables. I am almost every week there. Normal prices for Bruges.",1
2834,google_mybusiness,eng,1,experience;food;service,"Awesome, delicious food! The street boxed are exquisite, especially the pork belly, the fries with cheese too. Short wait time.",1
2837,google_mybusiness,eng,1,experience;food;environment,"Nice place. Simple menu, but effective. Free water and fruit at the table. Nice place for a lunch.",1
2839,google_mybusiness,eng,1,food;service,"Friendly, quick service. The blue cheese burger was one of the best and most thoroughly unique burgers I've ever had. Love the frites too!",1
2846,google_mybusiness,eng,1,food;environment;service,"One of the best burger ever. Nice restaurant, nice people,  nice food.",1
2849,google_mybusiness,eng,1,food;reputation,"Never a miss, always great good and fast service.. try the vegan/vegetarian burgers they are really nice.",1
2851,google_mybusiness,eng,1,experience;food;environment;service,This is a serious meatball... Delicious!! Cool atmosphere and great kindness for our first time to explain us everything.,1
2852,google_mybusiness,eng,1,experience;food;service,"It's a nice place to go to if you have friends that want to eat meat while you are vegan/vegetarian. The water and some fruit is free to take on the table. If you are vegan you only have 1 choice for the ball and 2 choices for the side dish. The salad has no dressing for the vegans but it does contain chickpeas which I found surprising. Maybe in the future there will be a dressing, at least I hope so.Because of the limited choice for the vegans I give this 3 stars but the food was tasty and the people were friendly.",1
2856,google_mybusiness,eng,1,experience;food,Delicious food. Not bad for a chain.,1
2857,google_mybusiness,eng,1,experience;food;value,"Friendly, but dishes ar rather small, taste is intermediate...",1
2863,google_mybusiness,eng,1,experience;food;value;reputation,"Really nice starters, had a aperol spritz with was lovely too. Would recommend. Not too pricey either",1
2865,instagram,eng,1,experience;food;consistency;reputation,"Best pana cotta I tried in London so far, only spaghetti_house . Tiramisu is also one of the best I tried in London (but sorry no picture because it has been eaten 😍). Would totally recommend the place for proper Italian food 😤😲🧐 #london #mayfair #italianfood #italiandessert #italianfoodlover #spaghettihouse #panacotta #yum #delicious",1
2867,instagram,eng,1,experience;food,It's a cheesy love affair | 🧀#maveninlondon..📍 the_spaghettihouse WoodstockSpaghetti a la Carbonara 🍝..#londonfood #noodleworship #cheeseporn #parmesancheese #foodiesinlondon #londonsbest #londoner #forkyeah #eaterlondon #foodpic #foodphotography #nomnomnom #cheesey #cheese #pastalovers #pasta🍝 #foodporndaily #bostonblogger #lifeasamaven #lumixgx85 #foodprnshare #foodblogfeed #huffpostfood #buzzfeast #england #visitlondon #londoncheapeats #londonforyou,1
2869,google_mybusiness,eng,1,experience,"A fair option for a mid-priced meal but pretty much as you'd expect for a chain restaurant in a central location. The staff are reasonably friendly but nothing above and beyond - the menu is nice but nothing exceptional. I had the vongole, which was fairly tasty, but had some spectacular small clams and nothing to really write home about. Fine in a pinch, but ultimately falls closer to tourist fodder, and there are plenty of better options round.",1
2870,google_mybusiness,eng,1,experience;food,"Great food, shame they tried charging us for deserts that we didn't have! But apart from that the food was amazing 😀",1
2872,google_mybusiness,eng,1,environment;experience;value;service,"Really nice cafe which manages to have a great atmosphere despite being pretty big! Dog friendly, good value, friendly staff, happy days..",1
2875,google_mybusiness,eng,1,food,Great coffee and food. Very nice place to work or just relax.,1
2884,instagram,eng,1,reputation,We are waffle ready for you ✔️ Stop by one of our stores and allow yourself a wafflelicious treat ➡️ Antwerp - Bruges - Ostend••••••#waffleinspo #stores #antwerp #bruges #ostend #wafflelicious #treatyourself #welovechezalbert #thursdaymood #goodmood #yummy #chezalbert,1
2888,instagram,eng,1,reputation;food,Belgium wouldn't be complete without some delicious treats.Here we have a nice baked waffle topped with fresh whipped cream and toffee sauce chezalbert. Are you treating yourself this weekend? 😋...#igdessert #waffles #travelbelgium #visitbruges #brugesbelgium #topbelgiumphoto #europetravel #city_explore #europe_ig #fujifilmxt20 #fujifilmxseries #fujifilm_street #fujifilmjp_x #fujifilmglobal #fujifilmphotography #fujifilm_xseries #myfujilove #myfeatureshoot,1
2893,instagram,eng,1,reputation,Let’s start the weekend with some waffles! Who’s with me? 🙋🏼‍♀️••••••••#weekendfeeling #friday #waffles #premium #go4gofre #wafflelove #mood #foodinspo #gofre,1
2896,facebook,eng,1,reputation,Smarties or chocolate shavings?,1
2897,instagram,eng,1,reputation,"Look for something positive in each day, even if some days you have to look a little harder ✨•••••••#positivevibes #mood #monday #motivation #darkchocolate #goldtoppings #waffleonastick #bruges #premiumwaffles #go4gofre #gofre",1
2898,google_mybusiness,eng,1,experience;food,"Straight-forward, no nonsense good food. Great puree, beautifully flavourful sauce and meatballs that have never disappointed. I'm always delighted by how much flavour they manage to pack into what should be a simple meal",1
2899,google_mybusiness,eng,1,experience;convenience;food,Takeaway of the pork ball (€4.50 cheaper to takeaway rather than eat in). Very tasty ball!,1
2901,google_mybusiness,eng,1,experience;food;environment,"Note 10The place is too narrow , hidden and the food too good!",0
2902,instagram,eng,1,environment,me bavet_spaghetti enjoying my all time favorite🍝..#spaghetti #food #foodlover #pasta #instapic #tbt #enjoy #instagood #photooftheday #potd,1
2905,instagram,eng,1,environment,Everebody loves bavet_spaghetti 🍝🤗#bavet #spaghetti🍝 #spaghettibolognese  #myfacewheniseefood,1
2907,instagram,eng,1,environment,"About last night, dinner for 2 bavet_spaghetti... Billy Bonker with extra onion crush..be_reefer got away from his tank, wife has her needs too. #bavet #bavetspaghetti #billybonkersspaghetti #onioncrushtopping #dinnerfortwo #husband #lovehimtopieces #brussels #placesaintcatherine",1
2908,instagram,eng,1,environment,"#info : www.bavet.eu // bavet_spaghetti,  #bavet_spaghetti, #bavet, #verlorenkost 1, #gent, #ghent, #gand, #9000, #citygent, #gentcity, #gentbeeldig <3",1
2915,google_mybusiness,eng,1,environment,"Nice quantity, it's a good spaget' bolo",1
2920,google_mybusiness,eng,1,food,"Bowl was bigger than expected, and I didn't order the big (horse) bowl.",1
2921,facebook,eng,1,experience;food;service,Fab restaurant and brillent service it will be my 3rd time coming over a few months and I would highly recommend it!! And very tasty food.!,1
2922,google_mybusiness,eng,1,food;service,"Delicious coffee, sandwiches, salad and cheese plate. Friendly staff.",1
2929,google_mybusiness,eng,1,experience;food,Had the Middletons burger absolutely delicious,1
2930,google_mybusiness,eng,1,experience;food;service,"Fantastic food and service, great value fixed price menu from 12-5 Mon-Sat. Will definitely be back!",1
2931,google_mybusiness,eng,1,experience;service;food,Very quick service. Was worried they were going to try and get us out quickly but they left us to chat for as long as we wanted. Excellent food and service,1
2933,google_mybusiness,eng,1,experience;food;service,Wonderful staff wonderful food,1
2934,google_mybusiness,eng,1,experience;reputation;environment,The food here is lovely the resturant is stylish and modern and the service was very good I would recommend middletons to anyone and will be going back!,1
2935,facebook,eng,1,experience;food;service,Great food and friendly staff,1
2937,google_mybusiness,eng,1,food,"Very nice, plant-based kitchen!",1
2940,google_mybusiness,eng,1,food,"Great for a quick bite, especially if you're looking for vegetarian and vegan options. Reasonably priced and very clean. We had the meat lovers burger  (plant based, soy free of course). It was quite good.",1
2941,google_mybusiness,eng,1,food,Amazing! Great veggie food at good prices. Best veggie burger I've had in a long time. Tranquillity in the middle of Leuven.,1
2942,google_mybusiness,eng,1,experience;food,Lovely food.thank you,1
2945,google_mybusiness,eng,1,food;experience;service,Great place to eat really friendly staff and great food,1
2947,google_mybusiness,eng,1,food;service,"Excellent food, very nice personell and quick service",1
2948,google_mybusiness,eng,1,food;reputation,"Ellis has delicious, high-quality burgers, it's as simple as that. This time I tried the seasonal vegan burger, what a delight! This is the first time I truly enjoyed a veggie burger, I went back the next day!",1
2952,google_mybusiness,eng,1,food,Nice burgers !,1
2955,google_mybusiness,eng,1,service;environment;food,What a great place for a quick bite to eat and a beer!  The restaurant across the street was in the middle of their lunch/dinner changeover so the server actually recommended I come here.  Great advice.  :),1
2956,google_mybusiness,eng,1,environment,Good place,1
2960,google_mybusiness,eng,1,service;food,Nice food and good servers,1
2961,google_mybusiness,eng,1,service;food,"Great food, nice servers",1
2965,google_mybusiness,eng,1,food;service;value,"Excellent, cozy and comfortable burger restaurant. The location is in the heart of Brugge (Bruges). The staff is very friendly and the food is done very quick. Ofcours the food itself is also great and the price is very reasonable. Definitely recommend",1
2966,google_mybusiness,eng,1,food,"The Meal was very delicious! I don't know a place in the Netherlands, where burgers smells better. :)",1
2967,google_mybusiness,eng,1,value;food;reputation,"Very good burgers, including vegeterian ones. Good stuff comes with a price, but still a bit overpriced.",1
2970,google_mybusiness,eng,1,service,Excellent. Loved it there. Food Fabulous and friendly staff. Would definitely recommend.,1
2978,google_mybusiness,eng,1,food,Good food,1
2983,facebook,eng,1,food,Very tasty miniburgers and milkshake 😀,1
2986,facebook,eng,1,food;service,Brilliant food and super fast service.,1
2991,google_mybusiness,eng,1,food,OK place for a quick stop for lunch. The vegan options is the beyond burger. The staff was not sure if the dip sauce was vegan. Ask for vegan mayo. It's not that good. The beyond burger is soaked with ketchup. Bummer.. This was my second visit to Ellis and I think I can find a better spot in Hasselt for a quick vegan lunch.,0
2992,google_mybusiness,eng,1,environment;food,We walked in last minute just before they closed the doors. Staff welcomed us with smiles. My wife ordered the vegan burger. My best friends and I ordered beef burgers. Food was on point and delicious. Staff was attentive even last minute. Atmosphere very New York. Clean place. You won't be disappointed.,1
2994,google_mybusiness,eng,1,environment;food,"We came in around 8 pm on a Friday and the host greeted us. We don't speak french very well, but he spoke English so it worked out great! We got our food to go and it only took about 10 minutes. We got back to our air bnb and couldn't believe our eyes at how big the burgers were! They tasted great, and the fries were good too. Would highly recommend!",1
2995,google_mybusiness,eng,1,food;reputation,Good place the burgers are good and they have vegetarian and vegan options,1
3000,google_mybusiness,eng,1,experience;food,A nice and good portion of big meat balls,1
3008,google_mybusiness,eng,1,food;service;reputation,"Great vegan burger served swiftly with a smile, and for a decent price too!",1
3010,google_mybusiness,eng,1,food;experience;value,Nice food. Bit on the pricey side.,1
3012,google_mybusiness,eng,1,food;service;environment,"Good food, friendly service and clean tables.",1
3018,google_mybusiness,eng,1,food;service,Hip urban vibe. Great customer service. I'm always impressed with how seamlessly folks can go to English when they detect an American accent. Burger rivaled anything an American gourmet burger place could do.,1
3020,google_mybusiness,eng,1,food,Amazing burgers,1
3025,google_mybusiness,eng,1,experience;service;food,"Expensive but very good, tempting menu. There's so much I'd love to have on that menu.",1
3027,google_mybusiness,eng,1,reputation;consistency,Best place to eat hamburger in Antwerp!,1
3028,google_mybusiness,eng,1,reputation;food;service,"Friendly service, nice atmosphere and actually very good music playing. The food was also very tasty.",1
3033,facebook,eng,1,experience;service,"Hi. Came for lunch last week with a friend for a catch up. Was served by jade, very friendly and tentative, good service. Had the set menu, I’m GF so good choice available. Thanks. 😊",0
3035,google_mybusiness,eng,1,experience;food;value,"Has an excellent meal tonight. Steak cooked exactly as requested, good ribs and an excellent bottle of Primitivism red wine. All meals arrived together, bill very reasonable. Recommended.",1
3037,facebook,eng,1,food;environment;service,"The staff are amazingly nice, the food is really fresh, great atmosphere in this place and I really recommend it",1
3038,google_mybusiness,eng,1,food;service;environment,"excellent coffee from an trained barista. The brunch menu isn't diverse, but damn! -everything on it is delicious. For an afternoon of studying, laptop work, and/or a good book in a sunny window, this place is easily the best between amstelveen and amsterdam. no fietsparkeren, but plenty of space on the walkway outside to leave your ride!",1
3043,google_mybusiness,eng,1,environment;food;service,"I liked how clean and well decorated the place was. The breakfast option with egg was really delicious. Friendly staff, too!",1
3045,google_mybusiness,eng,1,food;service,The coffee is excellent! As is the service! :),1
3046,google_mybusiness,eng,1,experience,Happy with everything.,1
